"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"WIPRO","Wipro Limited","7(2)","Sarat Chand","Employees/Designated Employees","ADR/GDR/FCCB","19934","0",,"19934","12936270","Sell","ADR/GDR/FCCB","Nil","0","08-Dec-2021","08-Dec-2021","10-Dec-2021","Market Sale","-","-","0","0","0","0","NA","-","10-Dec-2021 15:45","https://archives.nseindia.com/corporate/xbrl/IT_1116723_569356_10122021034530_WEB.xml"
"ARENTERP","Rajdarshan Industries Limited","7(2)","ARUNA DOSHI","Director","Equity Shares","1269167","40.83",,"5000","274700","Sell","Equity Shares","1264167","40.67","09-Dec-2021","09-Dec-2021","10-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 15:44","https://archives.nseindia.com/corporate/xbrl/IT_1116722_569353_10122021034446_WEB.xml"
"ARENTERP","Rajdarshan Industries Limited","7(2)","MADHAV DOSHI","Director","Equity Shares","288585","9.28",,"12000","659280","Sell","Equity Shares","276585","8.9","09-Dec-2021","09-Dec-2021","10-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 15:44","https://archives.nseindia.com/corporate/xbrl/IT_1116722_569353_10122021034446_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","695912","2.06",,"1300","2777944","Buy","Equity Shares","697212","2.06","08-Dec-2021","08-Dec-2021","09-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","10-Dec-2021 15:43","https://archives.nseindia.com/corporate/xbrl/IT_1116719_569346_10122021034315_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","697212","2.06",,"1300","2754981","Buy","Equity Shares","698512","2.07","09-Dec-2021","09-Dec-2021","09-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","10-Dec-2021 15:43","https://archives.nseindia.com/corporate/xbrl/IT_1116719_569346_10122021034315_WEB.xml"
"WIPRO","Wipro Limited","7(3)","Bhanumurthy Ballapuram Muni","-","Equity Shares","367908","0",,"22117","14100633","Sell","Equity Shares","345791","0","09-Dec-2021","09-Dec-2021","10-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 15:40","https://archives.nseindia.com/corporate/xbrl/IT_1116717_569342_10122021034047_WEB.xml"
"PAR","Par Drugs And Chemicals Limited","7(2)","JIGNESH VALLABHBHAI SAVANI","Promoters","Equity Shares","2682440","21.8",,"2000","379250","Buy","Equity Shares","2684440","21.82","08-Dec-2021","08-Dec-2021","10-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","10-Dec-2021 15:08","https://archives.nseindia.com/corporate/xbrl/IT_1116715_569321_10122021030847_WEB.xml"
"PAR","Par Drugs And Chemicals Limited","7(2)","GHANSHAYAMBHAI BHAGVANBHAI SAVANI","Promoter Group","Equity Shares","791284","6.43",,"1000","189399","Buy","Equity Shares","792284","6.44","08-Dec-2021","08-Dec-2021","10-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","10-Dec-2021 15:08","https://archives.nseindia.com/corporate/xbrl/IT_1116715_569321_10122021030847_WEB.xml"
"PAR","Par Drugs And Chemicals Limited","7(2)","JIGNESH VALLABHBHAI SAVANI","Promoters","Equity Shares","2682440","21.8",,"2000","379250","Buy","Equity Shares","2684440","21.82","08-Dec-2021","08-Dec-2021","10-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","10-Dec-2021 15:08","https://archives.nseindia.com/corporate/xbrl/IT_1116715_569321_10122021030847_WEB.xml"
"PAR","Par Drugs And Chemicals Limited","7(2)","GHANSHAYAMBHAI BHAGVANBHAI SAVANI","Promoter Group","Equity Shares","791284","6.43",,"1000","189399","Buy","Equity Shares","792284","6.44","08-Dec-2021","08-Dec-2021","10-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","10-Dec-2021 15:08","https://archives.nseindia.com/corporate/xbrl/IT_1116715_569321_10122021030847_WEB.xml"
"BEARDSELL","Beardsell Limited","7(2)","BHARAT ANUMOLU","Promoters","Equity Shares","3480092","12.39",,"51385","617134","Sell","Equity Shares","3428707","12.2","07-Dec-2021","07-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 14:57","https://archives.nseindia.com/corporate/xbrl/IT_1116711_569306_10122021025720_WEB.xml"
"BEARDSELL","Beardsell Limited","7(2)","BHARAT ANUMOLU","Promoters","Equity Shares","3490703","12.42",,"10611","128499","Sell","Equity Shares","3480092","12.39","07-Dec-2021","07-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","BSE","-","10-Dec-2021 14:57","https://archives.nseindia.com/corporate/xbrl/IT_1116711_569306_10122021025720_WEB.xml"
"BEARDSELL","Beardsell Limited","7(2)","BHARAT ANUMOLU","Promoters","Equity Shares","3501103","12.46",,"10400","122200","Sell","Equity Shares","3490703","12.42","06-Dec-2021","06-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 14:57","https://archives.nseindia.com/corporate/xbrl/IT_1116711_569306_10122021025720_WEB.xml"
"BEARDSELL","Beardsell Limited","7(2)","BHARAT ANUMOLU","Promoters","Equity Shares","3501403","12.46",,"300","3504","Sell","Equity Shares","3501103","12.46","06-Dec-2021","06-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","BSE","-","10-Dec-2021 14:57","https://archives.nseindia.com/corporate/xbrl/IT_1116711_569306_10122021025720_WEB.xml"
"LINCPEN","Linc Pen & Plastics Limited","7(2)","Raghav Jalan","Promoter Group","Equity Shares","168000","1.13",,"11000","2490969","Sell","Equity Shares","157000","1.06","09-Dec-2021","09-Dec-2021","10-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 14:11","https://archives.nseindia.com/corporate/xbrl/IT_1116705_569264_10122021021143_WEB.xml"
"ORICONENT","Oricon Enterprises Limited","7(2)","S K Somani & Company (Partnership Firm)","Promoter Group","Equity Shares","15781097","10.04",,"20000","797162","Buy","Equity Shares","15801097","10.06","09-Dec-2021","09-Dec-2021","10-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","10-Dec-2021 14:08","https://archives.nseindia.com/corporate/xbrl/IT_1116704_569257_10122021020828_WEB.xml"
"GODHA","Godha Cabcon & Insulation Limited","7(2)","Madhu Godha","Promoters","Equity Shares","7827772","70.49",,"9478","586902","Sell","Equity Shares","7818294","70.41","09-Dec-2021","09-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 13:10","https://archives.nseindia.com/corporate/xbrl/IT_1116700_569218_10122021011001_WEB.xml"
"GODHA","Godha Cabcon & Insulation Limited","7(2)","Madhu Godha","Promoters","Equity Shares","7838460","70.59",,"10688","635250","Sell","Equity Shares","7827772","70.49","08-Dec-2021","08-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 13:10","https://archives.nseindia.com/corporate/xbrl/IT_1116700_569218_10122021011001_WEB.xml"
"KSHITIJPOL","Kshitij Polyline Limited","7(2)","HEMRAJ GALA","Promoters","Equity Shares","2820319","27.84",,"4666","149312","Buy","Equity Shares","2824985","27.89","08-Dec-2021","08-Dec-2021","10-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","10-Dec-2021 12:40","https://archives.nseindia.com/corporate/xbrl/IT_1116698_569202_10122021124042_WEB.xml"
"ALMONDZ","Almondz Global Securities Limited","7(2)","NAVJEET SINGH SOBTI HUF","Promoter Group","Equity Shares","194002","0.74",,"2000","251965","Buy","Equity Shares","196002","0.75","09-Dec-2021","09-Dec-2021","10-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","10-Dec-2021 12:36","https://archives.nseindia.com/corporate/xbrl/IT_1116696_569199_10122021123601_WEB.xml"
"VAIBHAVGBL","Vaibhav Global Limited","7(2)","Brett Enterprises Private Limited (formerly Brett Plastics Pvt. Ltd.)","Promoter Group","Equity Shares","91472991","55.86",,"3000","1712885","Buy","Equity Shares","91475991","55.87","09-Dec-2021","09-Dec-2021","10-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","10-Dec-2021 11:57","https://archives.nseindia.com/corporate/xbrl/IT_1116693_569180_10122021115707_WEB.xml"
"BAJAJ-AUTO","Bajaj Auto Limited","7(2)","Bajaj Auto ESOP Trust","Other","Equity Shares","172113","0.05",,"1250","4143287","Buy","Equity Shares","173363","0.05","08-Dec-2021","08-Dec-2021","09-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","10-Dec-2021 11:51","https://archives.nseindia.com/corporate/xbrl/IT_1116691_569172_10122021115153_WEB.xml"
"BAJAJ-AUTO","Bajaj Auto Limited","7(2)","Bajaj Auto ESOP Trust","Other","Equity Shares","173363","0.05",,"2000","6671400","Buy","Equity Shares","175363","0.06","09-Dec-2021","09-Dec-2021","10-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","10-Dec-2021 11:51","https://archives.nseindia.com/corporate/xbrl/IT_1116691_569172_10122021115153_WEB.xml"
"KPITTECH","KPIT Technologies Limited","7(2)","VISHWAJIT JOSHI","Employees/Designated Employees","Equity Shares","2705","0",,"2700","1336851","Sell","Equity Shares","5","0","06-Dec-2021","06-Dec-2021","08-Dec-2021","ESOP","-","-","0","0","0","0","NSE","-","10-Dec-2021 11:45","https://archives.nseindia.com/corporate/xbrl/IT_1116689_569169_10122021114554_WEB.xml"
"SIGIND","Signet Industries Limited","7(2)","Vijay Mahnot","Other","Equity Shares","14114","0.05",,"2500","100750","Buy","Equity Shares","16614","0.06","09-Dec-2021","09-Dec-2021","09-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","10-Dec-2021 11:19","https://archives.nseindia.com/corporate/xbrl/IT_1116687_569160_10122021111927_WEB.xml"
"ICICIPRULI","ICICI Prudential Life Insurance Company Limited","7(2)","Sumit Mohindra","Employees/Designated Employees","Equity Shares","180450","0.01",,"30000","17601000","Pledge Invoke","Equity Shares","150450","0.01","07-Dec-2021","07-Dec-2021","08-Dec-2021","Invocation of pledge","-","-","0","0","0","0","NSE","-","10-Dec-2021 11:11","https://archives.nseindia.com/corporate/xbrl/IT_1116686_569154_10122021111116_WEB.xml"
"MOTILALOFS","Motilal Oswal Financial Services Limited","7(2)","Sandeep P Gupta","Employees/Designated Employees","Equity Shares","31250","0.02",,"1250","1210500","Sell","Equity Shares","30000","0.02","08-Dec-2021","08-Dec-2021","08-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 11:00","https://archives.nseindia.com/corporate/xbrl/IT_1116684_569151_10122021110027_WEB.xml"
"HATSUN","Hatsun Agro Product Limited","7(2)","V Sriram Karta of V Sriram (HUF)","Other","Equity Shares","666666","0.31",,"66666","87009130","Pledge","Equity Shares","666666","0.31","07-Dec-2021","07-Dec-2021","09-Dec-2021","Pledge Creation","-","-","0","0","0","0","NA","-","10-Dec-2021 10:07","https://archives.nseindia.com/corporate/xbrl/IT_1116681_569133_10122021100710_WEB.xml"
"BSHSL","Bombay Super Hybrid Seeds Limited","7(2)","Hetal A Kakadia","Promoter Group","Equity Shares","34732","0.33",,"75","22083","Buy","Equity Shares","34807","0.33","07-Dec-2021","07-Dec-2021","08-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","09-Dec-2021 23:25","https://archives.nseindia.com/corporate/xbrl/IT_1116678_569118_09122021112525_WEB.xml"
"BSHSL","Bombay Super Hybrid Seeds Limited","7(2)","Sonal A Kakadia","Promoter Group","Equity Shares","34949","0.33",,"303","92660","Buy","Equity Shares","35252","0.34","07-Dec-2021","07-Dec-2021","08-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","09-Dec-2021 23:25","https://archives.nseindia.com/corporate/xbrl/IT_1116678_569118_09122021112525_WEB.xml"
"GRASIM","Grasim Industries Limited","7(2)","IGH Holdings Private Limited","Promoter Group","Equity Shares","40056393","6.09",,"40000","67021521","Buy","Equity Shares","40096393","6.09","07-Dec-2021","07-Dec-2021","09-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","09-Dec-2021 22:27","https://archives.nseindia.com/corporate/xbrl/IT_1116676_569111_09122021102716_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(3)","Nanduri Murali Krishna","-","Equity Shares","9907","0",,"2600","3304600","Buy","Equity Shares","12507","0","07-Dec-2021","07-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 21:56","https://archives.nseindia.com/corporate/xbrl/IT_1116675_569107_09122021095647_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(3)","Venkattu Srinivasan","-","Equity Shares","46892","0",,"5000","9067193","Buy","Equity Shares","51892","0","11-Aug-2021","11-Aug-2021","09-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","09-Dec-2021 21:56","https://archives.nseindia.com/corporate/xbrl/IT_1116675_569107_09122021095647_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(3)","G. Natarajan","-","Equity Shares","15703","0",,"912","1238532","Buy","Equity Shares","16615","0","07-Dec-2021","07-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 21:56","https://archives.nseindia.com/corporate/xbrl/IT_1116675_569107_09122021095647_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(3)","Murlidhar Gangadharan","-","Equity Shares","399760","0.02",,"11482","16763720","Buy","Equity Shares","411242","0.02","07-Dec-2021","07-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 21:56","https://archives.nseindia.com/corporate/xbrl/IT_1116675_569107_09122021095647_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(3)","Venkattu Srinivasan","-","Equity Shares","51892","0",,"21232","26985872","Buy","Equity Shares","73124","0","07-Dec-2021","07-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 21:56","https://archives.nseindia.com/corporate/xbrl/IT_1116675_569107_09122021095647_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","Thakur Bhaskar","-","Equity Shares","11324","0",,"458","602278","Buy","Equity Shares","11782","0","07-Dec-2021","07-Dec-2021","08-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 21:38","https://archives.nseindia.com/corporate/xbrl/IT_1116673_569104_09122021093845_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","JOHN FERNANDES","-","Equity Shares","33136","0",,"272","345712","Buy","Equity Shares","33408","0","07-Dec-2021","07-Dec-2021","08-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 21:38","https://archives.nseindia.com/corporate/xbrl/IT_1116673_569104_09122021093845_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","Vikas Satija","-","Equity Shares","38250","0",,"1314","1918440","Buy","Equity Shares","39564","0","07-Dec-2021","07-Dec-2021","08-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 21:38","https://archives.nseindia.com/corporate/xbrl/IT_1116673_569104_09122021093845_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","Jaimin Bhatt","Key Managerial Personnel","Equity Shares","1295829","0.07",,"6420","8159820","Buy","Equity Shares","1302249","0.07","07-Dec-2021","07-Dec-2021","08-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 21:38","https://archives.nseindia.com/corporate/xbrl/IT_1116673_569104_09122021093845_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","D Kannan","-","Equity Shares","695601","0.04",,"10441","13562621","Buy","Equity Shares","706042","0.04","07-Dec-2021","07-Dec-2021","08-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 21:38","https://archives.nseindia.com/corporate/xbrl/IT_1116673_569104_09122021093845_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","DEEPAK SHARMA","-","Equity Shares","17637","0",,"2740","3482540","Buy","Equity Shares","20377","0","07-Dec-2021","07-Dec-2021","08-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 21:38","https://archives.nseindia.com/corporate/xbrl/IT_1116673_569104_09122021093845_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","Gaurang Shah","Director","Equity Shares","844210","0.04",,"8218","11431280","Buy","Equity Shares","852428","0.04","07-Dec-2021","07-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 21:38","https://archives.nseindia.com/corporate/xbrl/IT_1116673_569104_09122021093845_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","Kamal Nigam","-","Equity Shares","4868","0",,"490","645050","Buy","Equity Shares","5358","0","07-Dec-2021","07-Dec-2021","08-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 21:38","https://archives.nseindia.com/corporate/xbrl/IT_1116673_569104_09122021093845_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","Nitin Singhal","-","Equity Shares","9188","0",,"516","687000","Buy","Equity Shares","9704","0","07-Dec-2021","07-Dec-2021","08-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 21:38","https://archives.nseindia.com/corporate/xbrl/IT_1116673_569104_09122021093845_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","Rakesh Sinha","-","Equity Shares","18150","0",,"2588","3571252","Buy","Equity Shares","20738","0","07-Dec-2021","07-Dec-2021","08-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 21:38","https://archives.nseindia.com/corporate/xbrl/IT_1116673_569104_09122021093845_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","Sanjay Garyali","-","Equity Shares","31627","0",,"700","1022000","Buy","Equity Shares","32327","0","07-Dec-2021","07-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 21:38","https://archives.nseindia.com/corporate/xbrl/IT_1116673_569104_09122021093845_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","Sudha Balakrishnan","-","Equity Shares","41520","0",,"2280","3328800","Buy","Equity Shares","43800","0","07-Dec-2021","07-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 21:38","https://archives.nseindia.com/corporate/xbrl/IT_1116673_569104_09122021093845_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","Sunil Daga","-","Equity Shares","14113","0",,"5192","7074871","Buy","Equity Shares","19305","0","07-Dec-2021","07-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 21:38","https://archives.nseindia.com/corporate/xbrl/IT_1116673_569104_09122021093845_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","Amit Mohan","-","Equity Shares","47374","0",,"620","788020","Buy","Equity Shares","47994","0","07-Dec-2021","07-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 21:38","https://archives.nseindia.com/corporate/xbrl/IT_1116673_569104_09122021093845_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","ABHISHEK BHALOTIA","-","Equity Shares","303864","0.02",,"3399","4962540","Buy","Equity Shares","307263","0.02","07-Dec-2021","07-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 21:38","https://archives.nseindia.com/corporate/xbrl/IT_1116673_569104_09122021093845_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","PRIYANKA SALGAONKAR","-","Equity Shares","15500","0",,"296","376216","Buy","Equity Shares","15796","0","06-Aug-2021","06-Aug-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 21:38","https://archives.nseindia.com/corporate/xbrl/IT_1116673_569104_09122021093845_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","PRIYANKA SALGAONKAR","-","Equity Shares","15796","0",,"5500","9500000","Sell","Equity Shares","10296","0","24-Aug-2021","01-Sep-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","09-Dec-2021 21:38","https://archives.nseindia.com/corporate/xbrl/IT_1116673_569104_09122021093845_WEB.xml"
"BSOFT","BIRLASOFT LIMITED","7(2)","Poonam Jindgar","Employees/Designated Employees","Equity Shares","526","0",,"10000","619500","Buy","Equity Shares","10526","0","07-Dec-2021","07-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 19:44","https://archives.nseindia.com/corporate/xbrl/IT_1116671_569086_09122021074403_WEB.xml"
"SREEL","Sreeleathers Limited","7(2)","SHIPRA DEY","Promoter Group","Equity Shares","33593","0.15",,"5615","955997","Buy","Equity Shares","39208","0.17","08-Dec-2021","08-Dec-2021","09-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","09-Dec-2021 19:42","https://archives.nseindia.com/corporate/xbrl/IT_1116670_569083_09122021074247_WEB.xml"
"BSOFT","BIRLASOFT LIMITED","7(2)","Mukul Singhal","Employees/Designated Employees","Equity Shares","20000","0.01",,"10000","619500","Buy","Equity Shares","30000","0.01","07-Dec-2021","07-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 19:30","https://archives.nseindia.com/corporate/xbrl/IT_1116667_569073_09122021073007_WEB.xml"
"BSOFT","BIRLASOFT LIMITED","7(2)","Shreeranganath Kulkarni","Employees/Designated Employees","Equity Shares","Nil","0",,"171340","4451413","Buy","Equity Shares","171340","0.06","07-Dec-2021","07-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 19:22","https://archives.nseindia.com/corporate/xbrl/IT_1116665_569065_09122021072251_WEB.xml"
"BSOFT","BIRLASOFT LIMITED","7(2)","Girish Naik","Employees/Designated Employees","Equity Shares","Nil","0",,"40000","2478000","Buy","Equity Shares","40000","0.01","07-Dec-2021","07-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 19:13","https://archives.nseindia.com/corporate/xbrl/IT_1116663_569058_09122021071316_WEB.xml"
"BSOFT","BIRLASOFT LIMITED","7(2)","Amit Dhawan","Employees/Designated Employees","Equity Shares","100","0",,"30500","1889475","Buy","Equity Shares","30600","0.01","07-Dec-2021","07-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 19:04","https://archives.nseindia.com/corporate/xbrl/IT_1116661_569047_09122021070452_WEB.xml"
"KPIGLOBAL","K.P.I. Global Infrastructure Limited","7(2)","Farukbhai Gulambhai Patel","Promoters","Equity Shares","9824200","54.38",,"2167","564796","Buy","Equity Shares","9826367","54.39","07-Dec-2021","07-Dec-2021","08-Dec-2021","Market Purchase","-","-","0","0","0","0","BSE","-","09-Dec-2021 19:04","https://archives.nseindia.com/corporate/xbrl/IT_1116660_569044_09122021070401_WEB.xml"
"KPIGLOBAL","K.P.I. Global Infrastructure Limited","7(2)","Farukbhai Gulambhai Patel","Promoters","Equity Shares","9809200","54.29",,"15000","3964357","Buy","Equity Shares","9824200","54.38","06-Dec-2021","06-Dec-2021","08-Dec-2021","Market Purchase","-","-","0","0","0","0","BSE","-","09-Dec-2021 19:04","https://archives.nseindia.com/corporate/xbrl/IT_1116660_569044_09122021070401_WEB.xml"
"CREST","Crest Ventures Limited","7(2)","A K Equities Private Limited","Promoter Group","Equity Shares","1857606","6.53",,"540000","82755000","Sell","Equity Shares","1317606","4.63","09-Dec-2021","09-Dec-2021","09-Dec-2021","Inter-se-Transfer","-","-","0","0","0","0","BSE","-","09-Dec-2021 18:52","https://archives.nseindia.com/corporate/xbrl/IT_1116657_569031_09122021065203_WEB.xml"
"CREST","Crest Ventures Limited","7(2)","Fine Estates Private Limited","Promoter Group","Equity Shares","14423674","50.7",,"540000","82755000","Buy","Equity Shares","14963674","52.6","09-Dec-2021","09-Dec-2021","09-Dec-2021","Inter-se-Transfer","-","-","0","0","0","0","BSE","-","09-Dec-2021 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1116656_569029_09122021065121_WEB.xml"
"LIBAS","Libas Consumer Products Limited","7(2)","NISHANT MITRASEN MAHIMTURA","Promoters","Equity Shares","551129","3.12",,"322284","9346236","Sell","Equity Shares","228845","1.3","08-Dec-2021","08-Dec-2021","08-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","09-Dec-2021 18:32","https://archives.nseindia.com/corporate/xbrl/IT_1116653_569014_09122021063203_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Rishabh Singh","Employees/Designated Employees","Equity Shares","381","0",,"181","1044732","Sell","Equity Shares","200","0","08-Dec-2021","08-Dec-2021","08-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","09-Dec-2021 18:23","https://archives.nseindia.com/corporate/xbrl/IT_1116651_569003_09122021062338_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","SURAJKUMAR MADHAWPRASAD TRIPATHI","Employees/Designated Employees","Equity Shares","1315","0",,"100","291500","Sell","Equity Shares","1215","0","24-Nov-2021","24-Nov-2021","08-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","09-Dec-2021 18:08","https://archives.nseindia.com/corporate/xbrl/IT_1116648_568982_09122021060807_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","SURAJKUMAR MADHAWPRASAD TRIPATHI","Employees/Designated Employees","Equity Shares","1215","0",,"250","392463","Buy","Equity Shares","1465","0","08-Dec-2021","08-Dec-2021","08-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 18:08","https://archives.nseindia.com/corporate/xbrl/IT_1116648_568982_09122021060807_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","SURAJKUMAR MADHAWPRASAD TRIPATHI","Employees/Designated Employees","Equity Shares","1465","0",,"3750","5886938","Buy","Equity Shares","5215","0","08-Dec-2021","08-Dec-2021","08-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","09-Dec-2021 18:08","https://archives.nseindia.com/corporate/xbrl/IT_1116648_568982_09122021060807_WEB.xml"
